title,release_date,popularity,vote_count,vote_average,genres,actor,director,id
믿음의 승부,2006-09-29,37.898,339,7.5,"[{'id': 18, 'name': '드라마'}]","[78040, 135798, 3456654]",[78040],18925
데스 레이스 3: 인페르노,2013-01-04,40.899,625,5.8,"[{'id': 28, 'name': '액션'}, {'id': 878, 'name': 'SF'}, {'id': 53, 'name': '스릴러'}]","[10843, 10182, 11160]",[97555],156717
이블 데드,1981-09-10,46.585,3146,7.3,"[{'id': 27, 'name': '공포'}]","[11357, 11462, 11463]",[7623],764
사랑과 영혼,1990-07-12,42.984,4754,7.2,"[{'id': 14, 'name': '판타지'}, {'id': 18, 'name': '드라마'}, {'id': 53, 'name': '스릴러'}, {'id': 9648, 'name': '미스테리'}, {'id': 10749, 'name': '로맨스'}]","[723, 3416, 2395]",[3415],251
Tre nøtter til Askepott,2021-11-12,47.507,73,6.7,"[{'id': 10751, 'name': '가족'}, {'id': 14, 'name': '판타지'}]","[2349056, 1806236, 79331]",[7743],660262
사탄의 베이비시터: 킬러 퀸,2020-09-10,47.488,1221,6.4,"[{'id': 35, 'name': '코미디'}, {'id': 27, 'name': '공포'}]","[1538780, 1372369, 974169]",[36425],623491
Porno & Libertà,2016-06-24,41.394,72,5.5,"[{'id': 99, 'name': '다큐멘터리'}, {'id': 36, 'name': '역사'}]","[239628, 1140008, 1603204]",[78667],381749
원 데이,2011-03-02,36.556,3664,7.4,"[{'id': 18, 'name': '드라마'}, {'id': 10749, 'name': '로맨스'}]","[1813, 38941, 75073]",[1176],51828
나잇 & 데이,2010-06-15,41.354,3886,6.2,"[{'id': 28, 'name': '액션'}, {'id': 35, 'name': '코미디'}]","[500, 6941, 133]",[366],37834
옹박: 두번째 미션,2005-08-11,43.101,691,7.1,"[{'id': 28, 'name': '액션'}, {'id': 80, 'name': '범죄'}, {'id': 18, 'name': '드라마'}, {'id': 53, 'name': '스릴러'}]","[57207, 57208, 57209]",[57214],8982
La llorona,2006-06-20,34.959,62,6.8,"[{'id': 27, 'name': '공포'}]","[190012, 63204, 1064917]",[1064915],116946
미드웨이,2019-11-06,47.298,2003,7.2,"[{'id': 10752, 'name': '전쟁'}, {'id': 36, 'name': '역사'}, {'id': 28, 'name': '액션'}, {'id': 18, 'name': '드라마'}]","[1047649, 17178, 57755]",[6046],522162
바비와 첼시: 사라진 생일,2021-05-14,47.184,91,7.1,"[{'id': 16, 'name': '애니메이션'}]","[63333, 2204537, 50097]",[3031994],812456
대디스 홈,2015-12-25,38.832,2751,6.3,"[{'id': 35, 'name': '코미디'}]","[23659, 13240, 1817]",[74619],274167
셜록 홈즈,2009-12-23,43.479,12588,7.2,"[{'id': 28, 'name': '액션'}, {'id': 12, 'name': '모험'}, {'id': 80, 'name': '범죄'}, {'id': 9648, 'name': '미스테리'}]","[3223, 9642, 53714]",[956],10528
다이노소어 어드벤처 3D,2013-12-18,39.079,404,6.1,"[{'id': 16, 'name': '애니메이션'}, {'id': 10751, 'name': '가족'}, {'id': 12, 'name': '모험'}]","[142389, 15033, 1372]",[66191],77951
스파이더맨: 어크로스 더 스파이더버스,2023-05-31,47.144,0,0,"[{'id': 16, 'name': '애니메이션'}, {'id': 28, 'name': '액션'}, {'id': 12, 'name': '모험'}, {'id': 878, 'name': 'SF'}]","[587506, 25072, 130640]",[89596],569094
하트 퍼레이드,2022-06-15,47.133,42,6,"[{'id': 35, 'name': '코미디'}, {'id': 10749, 'name': '로맨스'}]","[1120448, 1580848, 2209044]",[1138129],982939
씬 시티: 다크히어로의 부활,2014-08-20,41.324,3321,6.4,"[{'id': 80, 'name': '범죄'}, {'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}]","[2295, 56731, 62]",[2294],189
이스케이프 플랜 2: 하데스,2018-06-05,47.078,1186,5.1,"[{'id': 28, 'name': '액션'}]","[16483, 543530, 57171]",[30058],440471
디노소어 어드벤쳐,2012-08-09,48.815,239,5.6,"[{'id': 12, 'name': '모험'}, {'id': 28, 'name': '액션'}, {'id': 27, 'name': '공포'}]","[1070853, 1070854, 176227]",[1040707],119698
탐하다: 욕망의 섬,2017-05-04,47.051,5,4.8,"[{'id': 10749, 'name': '로맨스'}]","[1549898, 1549900, 2639029]",[1555604],458083
셰터드,2022-01-14,47.041,74,5.8,"[{'id': 53, 'name': '스릴러'}]","[37089, 2453169, 81685]",[88084],844398
터미네이터 3: 라이즈 오브 더 머신,2003-07-02,37.555,5661,6.1,"[{'id': 28, 'name': '액션'}, {'id': 53, 'name': '스릴러'}, {'id': 878, 'name': 'SF'}]","[1100, 6408, 6194]",[7213],296
피라냐 3DD,2012-05-11,55.256,865,4.4,"[{'id': 27, 'name': '공포'}, {'id': 53, 'name': '스릴러'}, {'id': 35, 'name': '코미디'}]","[31838, 130227, 74618]",[62797],71668
컴 앤 씨,1985-07-09,41.344,1023,8.3,"[{'id': 18, 'name': '드라마'}, {'id': 10752, 'name': '전쟁'}]","[93407, 93408, 93409]",[93406],25237
Woody Woodpecker,2017-10-05,46.938,602,6.7,"[{'id': 35, 'name': '코미디'}, {'id': 10751, 'name': '가족'}, {'id': 16, 'name': '애니메이션'}]","[134423, 1245028, 89599]",[88077],462883
偷窺無罪,2002-03-16,46.918,3,4,"[{'id': 53, 'name': '스릴러'}, {'id': 28, 'name': '액션'}, {'id': 18, 'name': '드라마'}, {'id': 9648, 'name': '미스테리'}, {'id': 10749, 'name': '로맨스'}]","[64436, 240615, 268708]",[21904],380784
시티 오브 갓,2002-02-05,36.436,6102,8.4,"[{'id': 18, 'name': '드라마'}, {'id': 80, 'name': '범죄'}]","[8595, 8596, 8597]",[],598
Sexo Animal,1983-04-06,46.86,3,4.7,"[{'id': 18, 'name': '드라마'}]","[1267941, 1170409, 1267942]",[104066],450873
말레나,2000-03-16,46.68,1788,7.4,"[{'id': 18, 'name': '드라마'}]","[28782, 67612, 67613]",[65314],10867
투모로우랜드,2015-05-19,40.998,6316,6.2,"[{'id': 12, 'name': '모험'}, {'id': 10751, 'name': '가족'}, {'id': 9648, 'name': '미스테리'}, {'id': 878, 'name': 'SF'}]","[1461, 41419, 52018]",[7087],158852
